	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-0.27	0.0038	0.33	-0.82	-0.27	0.25	7201.0	14.0	1.0
theta[2,1]	0.0031	0.0041	0.3	-0.5	0.0089	0.5	5370.0	11.0	1.0
theta[3,1]	-0.95	0.0055	0.43	-1.7	-0.93	-0.29	6178.0	12.0	1.0
theta[4,1]	-1.3	0.0064	0.5	-2.1	-1.2	-0.51	6002.0	12.0	1.0
theta[5,1]	1.2	0.004	0.29	0.68	1.2	1.6	5392.0	11.0	1.0
theta[6,1]	-1.6	0.0076	0.56	-2.6	-1.6	-0.78	5431.0	11.0	1.0
theta[7,1]	-1.2	0.0069	0.46	-2.0	-1.2	-0.51	4490.0	8.8	1.0
theta[8,1]	0.79	0.0036	0.29	0.32	0.78	1.3	6162.0	12.0	1.0
theta[9,1]	-0.47	0.0048	0.35	-1.1	-0.45	0.083	5440.0	11.0	1.0
theta[10,1]	0.46	0.0033	0.28	-0.0095	0.46	0.91	7121.0	14.0	1.0
theta[11,1]	0.02	0.0037	0.29	-0.48	0.026	0.48	6327.0	12.0	1.0
theta[12,1]	0.83	0.0036	0.3	0.34	0.83	1.3	6895.0	14.0	1.0
theta[13,1]	-0.69	0.0049	0.39	-1.4	-0.66	-0.085	6445.0	13.0	1.0
theta[14,1]	-1.6	0.0066	0.58	-2.6	-1.6	-0.77	7527.0	15.0	1.0
theta[15,1]	-0.76	0.0049	0.39	-1.4	-0.74	-0.17	6421.0	13.0	1.0
theta[16,1]	0.29	0.0034	0.28	-0.18	0.3	0.75	6540.0	13.0	1.0
theta[17,1]	-0.52	0.0042	0.36	-1.1	-0.5	0.033	7465.0	15.0	1.0
theta[18,1]	-0.44	0.0042	0.34	-1.0	-0.43	0.094	6658.0	13.0	1.0
theta[19,1]	-1.9	0.0082	0.63	-3.0	-1.8	-0.92	5847.0	11.0	1.0
theta[20,1]	-0.72	0.0048	0.39	-1.4	-0.7	-0.12	6443.0	13.0	1.0
theta[21,1]	-0.85	0.0057	0.41	-1.6	-0.82	-0.23	5157.0	10.0	1.0
theta[22,1]	-0.41	0.0041	0.35	-0.99	-0.39	0.13	6972.0	14.0	1.0
theta[23,1]	1.1	0.0039	0.3	0.64	1.1	1.6	5893.0	12.0	1.0
theta[24,1]	-1.3	0.0063	0.51	-2.2	-1.3	-0.53	6566.0	13.0	1.0
theta[25,1]	-1.7	0.0071	0.58	-2.7	-1.6	-0.78	6473.0	13.0	1.0
theta[26,1]	0.53	0.0034	0.29	0.066	0.53	1.0	6930.0	14.0	1.0
theta[27,1]	0.077	0.0038	0.29	-0.41	0.084	0.54	5824.0	11.0	1.0
theta[28,1]	0.72	0.0034	0.29	0.26	0.73	1.2	7221.0	14.0	1.0
theta[29,1]	-0.22	0.0038	0.32	-0.78	-0.21	0.27	7139.0	14.0	1.0
theta[30,1]	0.38	0.0031	0.28	-0.078	0.38	0.84	8227.0	16.0	1.0
theta[31,1]	0.36	0.0033	0.27	-0.078	0.37	0.81	6699.0	13.0	1.0
theta[32,1]	-0.77	0.0051	0.39	-1.4	-0.75	-0.18	5985.0	12.0	1.0
theta[33,1]	-1.2	0.006	0.48	-2.1	-1.2	-0.51	6434.0	13.0	1.0
theta[34,1]	-1.6	0.0073	0.56	-2.6	-1.5	-0.71	5933.0	12.0	1.0
theta[35,1]	-0.38	0.0045	0.34	-0.96	-0.37	0.14	5479.0	11.0	1.0
theta[36,1]	-0.69	0.0053	0.38	-1.3	-0.67	-0.1	5108.0	10.0	1.0
theta[37,1]	0.36	0.0034	0.28	-0.11	0.36	0.81	6839.0	13.0	1.0
theta[38,1]	-0.74	0.0051	0.41	-1.4	-0.71	-0.11	6500.0	13.0	1.0
theta[39,1]	-0.19	0.0036	0.31	-0.72	-0.18	0.31	7780.0	15.0	1.0
theta[40,1]	-1.9	0.0083	0.62	-3.0	-1.8	-0.97	5508.0	11.0	1.0
theta[41,1]	0.59	0.0033	0.27	0.14	0.58	1.0	6793.0	13.0	1.0
theta[42,1]	0.054	0.0031	0.28	-0.43	0.058	0.52	8333.0	16.0	1.0
theta[43,1]	-1.6	0.0076	0.56	-2.6	-1.6	-0.73	5341.0	10.0	1.0
theta[44,1]	0.67	0.0035	0.28	0.21	0.66	1.1	6598.0	13.0	1.0
theta[45,1]	-1.1	0.0058	0.47	-1.9	-1.1	-0.4	6486.0	13.0	1.0
theta[46,1]	-0.49	0.0043	0.36	-1.1	-0.47	0.059	6809.0	13.0	1.0
theta[47,1]	2.5	0.0048	0.37	1.9	2.5	3.1	5863.0	12.0	1.0
theta[48,1]	0.94	0.0039	0.29	0.46	0.94	1.4	5461.0	11.0	1.0
theta[49,1]	-1.2	0.0066	0.49	-2.1	-1.2	-0.47	5679.0	11.0	1.0
theta[50,1]	-0.56	0.0043	0.35	-1.1	-0.54	-0.0075	6525.0	13.0	1.0
theta[51,1]	0.21	0.003	0.27	-0.23	0.21	0.66	8329.0	16.0	1.0
theta[52,1]	0.78	0.0035	0.28	0.32	0.78	1.3	6379.0	13.0	1.0
theta[53,1]	-1.5	0.007	0.55	-2.5	-1.5	-0.68	6209.0	12.0	1.0
theta[54,1]	-1.3	0.0062	0.49	-2.1	-1.3	-0.52	6227.0	12.0	1.0
theta[55,1]	0.15	0.0035	0.29	-0.32	0.15	0.62	6722.0	13.0	1.0
theta[56,1]	2.4	0.0048	0.36	1.8	2.4	3.0	5589.0	11.0	1.0
theta[57,1]	1.4	0.0038	0.31	0.86	1.4	1.9	6759.0	13.0	1.0
theta[58,1]	-1.9	0.0081	0.62	-3.0	-1.9	-0.94	5812.0	11.0	1.0
theta[59,1]	-0.83	0.0052	0.41	-1.5	-0.81	-0.21	6129.0	12.0	1.0
theta[60,1]	-0.097	0.0039	0.3	-0.61	-0.089	0.39	6085.0	12.0	1.0
theta[61,1]	-0.99	0.0056	0.44	-1.8	-0.96	-0.31	6302.0	12.0	1.0
theta[62,1]	-0.15	0.004	0.31	-0.68	-0.13	0.34	6035.0	12.0	1.0
theta[63,1]	-1.6	0.0065	0.56	-2.6	-1.5	-0.7	7443.0	15.0	1.0
theta[64,1]	0.94	0.0035	0.28	0.47	0.94	1.4	6474.0	13.0	1.0
theta[65,1]	0.28	0.0033	0.28	-0.18	0.28	0.75	7275.0	14.0	1.0
theta[66,1]	-0.46	0.0044	0.34	-1.0	-0.45	0.067	5907.0	12.0	1.0
theta[67,1]	-0.6	0.0047	0.37	-1.2	-0.57	-0.026	6035.0	12.0	1.0
theta[68,1]	-0.42	0.0041	0.35	-1.0	-0.4	0.13	7180.0	14.0	1.0
theta[69,1]	-0.57	0.0045	0.36	-1.2	-0.55	-0.016	6378.0	13.0	1.0
theta[70,1]	0.24	0.0033	0.29	-0.25	0.25	0.7	7790.0	15.0	1.0
theta[71,1]	-1.4	0.0073	0.52	-2.3	-1.4	-0.63	5070.0	10.0	1.0
theta[72,1]	-0.38	0.0044	0.32	-0.94	-0.38	0.12	5343.0	10.0	1.0
theta[73,1]	-0.3	0.0043	0.33	-0.86	-0.29	0.21	5732.0	11.0	1.0
theta[74,1]	-1.1	0.0061	0.46	-1.9	-1.1	-0.41	5715.0	11.0	1.0
theta[75,1]	-1.5	0.0069	0.56	-2.5	-1.5	-0.7	6569.0	13.0	1.0
theta[76,1]	0.081	0.0037	0.28	-0.4	0.084	0.54	5814.0	11.0	1.0
theta[77,1]	0.66	0.0034	0.27	0.21	0.66	1.1	6450.0	13.0	1.0
theta[78,1]	-1.4	0.0067	0.51	-2.3	-1.4	-0.61	5736.0	11.0	1.0
theta[79,1]	-0.84	0.0049	0.41	-1.5	-0.82	-0.21	7189.0	14.0	1.0
theta[80,1]	-0.64	0.0049	0.38	-1.3	-0.62	-0.062	6018.0	12.0	1.0
theta[81,1]	1.7	0.0041	0.34	1.2	1.7	2.3	6950.0	14.0	1.0
theta[82,1]	-1.6	0.0068	0.55	-2.5	-1.5	-0.73	6501.0	13.0	1.0
theta[83,1]	-0.9	0.005	0.41	-1.6	-0.87	-0.27	6857.0	13.0	1.0
theta[84,1]	0.55	0.0034	0.27	0.11	0.55	1.0	6245.0	12.0	1.0
theta[85,1]	0.28	0.0035	0.28	-0.18	0.28	0.73	6467.0	13.0	1.0
theta[86,1]	0.46	0.0036	0.27	0.01	0.47	0.91	5693.0	11.0	1.0
theta[87,1]	-1.6	0.0073	0.56	-2.5	-1.5	-0.72	5851.0	11.0	1.0
theta[88,1]	0.053	0.0032	0.29	-0.44	0.057	0.51	7869.0	15.0	1.0
theta[89,1]	-0.017	0.0034	0.29	-0.5	-0.011	0.45	7037.0	14.0	1.0
theta[90,1]	0.013	0.0032	0.29	-0.48	0.017	0.46	8317.0	16.0	1.0
theta[91,1]	1.5	0.0043	0.34	0.98	1.5	2.1	6075.0	12.0	1.0
theta[92,1]	0.75	0.0036	0.29	0.28	0.75	1.2	6423.0	13.0	1.0
theta[93,1]	2.1	0.0042	0.32	1.6	2.1	2.6	5883.0	12.0	1.0
theta[94,1]	0.018	0.0038	0.29	-0.49	0.03	0.48	5773.0	11.0	1.0
theta[95,1]	-1.3	0.0059	0.47	-2.1	-1.3	-0.56	6562.0	13.0	1.0
theta[96,1]	-1.4	0.0075	0.53	-2.4	-1.4	-0.65	4943.0	9.7	1.0
theta[97,1]	0.33	0.0038	0.29	-0.16	0.33	0.8	5907.0	12.0	1.0
theta[98,1]	-0.92	0.0051	0.4	-1.6	-0.89	-0.29	6258.0	12.0	1.0
theta[99,1]	-0.2	0.0041	0.32	-0.74	-0.19	0.3	5907.0	12.0	1.0
theta[100,1]	-1.3	0.0065	0.48	-2.2	-1.3	-0.6	5451.0	11.0	1.0
theta[101,1]	-0.77	0.0049	0.4	-1.5	-0.74	-0.16	6630.0	13.0	1.0
theta[102,1]	0.07	0.0035	0.29	-0.42	0.074	0.53	6818.0	13.0	1.0
theta[103,1]	0.47	0.0036	0.27	0.018	0.47	0.93	5893.0	12.0	1.0
theta[104,1]	1.3	0.0038	0.3	0.77	1.3	1.8	5986.0	12.0	1.0
theta[105,1]	0.32	0.0035	0.28	-0.13	0.32	0.78	6355.0	12.0	1.0
theta[106,1]	0.041	0.0037	0.3	-0.47	0.054	0.52	6548.0	13.0	1.0
theta[107,1]	0.16	0.0038	0.28	-0.31	0.17	0.62	5665.0	11.0	1.0
theta[108,1]	-0.81	0.0053	0.41	-1.5	-0.79	-0.2	5978.0	12.0	1.0
theta[109,1]	-0.058	0.0035	0.3	-0.57	-0.048	0.4	7172.0	14.0	1.0
theta[110,1]	-1.4	0.0067	0.5	-2.2	-1.3	-0.59	5690.0	11.0	1.0
theta[111,1]	-1.5	0.0068	0.52	-2.4	-1.5	-0.74	5821.0	11.0	1.0
theta[112,1]	-0.79	0.0051	0.4	-1.5	-0.76	-0.18	6166.0	12.0	1.0
theta[113,1]	-0.047	0.0039	0.3	-0.57	-0.04	0.43	6077.0	12.0	1.0
theta[114,1]	-0.49	0.0045	0.33	-1.1	-0.48	0.022	5600.0	11.0	1.0
theta[115,1]	-0.53	0.0043	0.36	-1.1	-0.52	0.021	6748.0	13.0	1.0
theta[116,1]	0.22	0.0034	0.29	-0.27	0.22	0.68	7208.0	14.0	1.0
theta[117,1]	-1.4	0.0071	0.53	-2.4	-1.4	-0.64	5434.0	11.0	1.0
theta[118,1]	-0.62	0.0049	0.36	-1.2	-0.6	-0.056	5282.0	10.0	1.0
theta[119,1]	0.085	0.0037	0.3	-0.42	0.094	0.56	6424.0	13.0	1.0
theta[120,1]	-1.5	0.0065	0.52	-2.4	-1.5	-0.7	6461.0	13.0	1.0
theta[121,1]	-0.56	0.0046	0.34	-1.1	-0.55	-0.037	5518.0	11.0	1.0
theta[122,1]	-1.1	0.0063	0.45	-1.8	-1.0	-0.39	5211.0	10.0	1.0
theta[123,1]	0.076	0.0034	0.29	-0.4	0.079	0.54	7073.0	14.0	1.0
theta[124,1]	0.57	0.0036	0.28	0.096	0.57	1.0	6032.0	12.0	1.0
theta[125,1]	0.91	0.0039	0.29	0.44	0.91	1.4	5437.0	11.0	1.0
theta[126,1]	-0.36	0.0041	0.34	-0.94	-0.35	0.17	6700.0	13.0	1.0
theta[127,1]	-1.7	0.0073	0.58	-2.7	-1.7	-0.82	6318.0	12.0	1.0
theta[128,1]	0.14	0.0035	0.3	-0.36	0.15	0.62	7483.0	15.0	1.0
theta[129,1]	0.062	0.0036	0.29	-0.42	0.071	0.53	6533.0	13.0	1.0
theta[130,1]	-1.2	0.0065	0.49	-2.1	-1.2	-0.5	5783.0	11.0	1.0
theta[131,1]	1.6	0.0038	0.31	1.1	1.6	2.1	6823.0	13.0	1.0
theta[132,1]	-0.35	0.0041	0.33	-0.92	-0.34	0.18	6297.0	12.0	1.0
theta[133,1]	1.1	0.0036	0.29	0.66	1.1	1.6	6254.0	12.0	1.0
theta[134,1]	-1.6	0.0069	0.55	-2.6	-1.6	-0.77	6305.0	12.0	1.0
theta[135,1]	-0.67	0.0048	0.37	-1.3	-0.65	-0.086	6052.0	12.0	1.0
theta[136,1]	-1.7	0.0073	0.58	-2.7	-1.7	-0.84	6180.0	12.0	1.0
theta[137,1]	-0.54	0.0045	0.37	-1.2	-0.52	0.032	6913.0	14.0	1.0
theta[138,1]	-0.41	0.0041	0.32	-0.96	-0.4	0.094	6158.0	12.0	1.0
theta[139,1]	0.32	0.0033	0.28	-0.15	0.31	0.77	7018.0	14.0	1.0
theta[140,1]	-0.78	0.0043	0.39	-1.5	-0.76	-0.19	8239.0	16.0	1.0
theta[141,1]	-1.5	0.0071	0.53	-2.4	-1.4	-0.67	5670.0	11.0	1.0
theta[142,1]	1.0	0.0034	0.29	0.57	1.0	1.5	6946.0	14.0	1.0
theta[143,1]	0.48	0.0031	0.27	0.043	0.48	0.92	7285.0	14.0	1.0
theta[144,1]	-0.35	0.0041	0.33	-0.9	-0.34	0.17	6366.0	13.0	1.0
theta[145,1]	-1.9	0.0079	0.62	-3.0	-1.9	-0.97	6176.0	12.0	1.0
theta[146,1]	0.76	0.0038	0.29	0.29	0.76	1.2	5786.0	11.0	1.0
theta[147,1]	-0.58	0.0047	0.34	-1.2	-0.57	-0.045	5214.0	10.0	1.0
theta[148,1]	0.029	0.0033	0.28	-0.45	0.032	0.49	7275.0	14.0	1.0
theta[149,1]	1.0	0.0034	0.28	0.56	1.0	1.5	6968.0	14.0	1.0
theta[150,1]	-1.6	0.007	0.56	-2.5	-1.5	-0.71	6331.0	12.0	1.0
theta[151,1]	-0.56	0.0043	0.36	-1.2	-0.54	0.0076	6912.0	14.0	1.0
theta[152,1]	-1.1	0.0059	0.44	-1.9	-1.1	-0.43	5676.0	11.0	1.0
theta[153,1]	-0.43	0.0043	0.34	-1.0	-0.42	0.11	6289.0	12.0	1.0
theta[154,1]	-1.6	0.007	0.56	-2.5	-1.5	-0.7	6455.0	13.0	1.0
theta[155,1]	-1.6	0.007	0.55	-2.6	-1.6	-0.78	6079.0	12.0	1.0
theta[156,1]	-0.92	0.006	0.43	-1.7	-0.9	-0.28	5025.0	9.9	1.0
theta[157,1]	0.49	0.0034	0.29	0.016	0.49	0.95	7181.0	14.0	1.0
theta[158,1]	0.072	0.0033	0.28	-0.39	0.08	0.53	7329.0	14.0	1.0
theta[159,1]	0.19	0.003	0.28	-0.28	0.2	0.63	8564.0	17.0	1.0
theta[160,1]	0.093	0.0032	0.28	-0.39	0.1	0.54	8005.0	16.0	1.0
theta[161,1]	0.72	0.0034	0.29	0.24	0.71	1.2	7068.0	14.0	1.0
theta[162,1]	-0.51	0.0047	0.34	-1.1	-0.49	0.024	5418.0	11.0	1.0
theta[163,1]	0.83	0.0036	0.28	0.37	0.83	1.3	5992.0	12.0	1.0
theta[164,1]	0.47	0.0037	0.29	0.0046	0.47	0.94	6038.0	12.0	1.0
theta[165,1]	-1.9	0.0077	0.62	-3.0	-1.8	-0.94	6412.0	13.0	1.0
theta[166,1]	0.55	0.0032	0.27	0.1	0.55	1.0	7182.0	14.0	1.0
theta[167,1]	0.1	0.0034	0.3	-0.41	0.11	0.58	7615.0	15.0	1.0
theta[168,1]	-1.4	0.0059	0.5	-2.3	-1.3	-0.6	7281.0	14.0	1.0
theta[169,1]	-0.88	0.0056	0.42	-1.6	-0.84	-0.25	5684.0	11.0	1.0
theta[170,1]	-1.9	0.0076	0.6	-2.9	-1.9	-0.97	6200.0	12.0	1.0
theta[171,1]	-1.7	0.0078	0.58	-2.7	-1.6	-0.78	5528.0	11.0	1.0
theta[172,1]	0.039	0.0033	0.3	-0.46	0.043	0.51	7899.0	16.0	1.0
theta[173,1]	0.59	0.0032	0.27	0.13	0.6	1.0	7248.0	14.0	1.0
theta[174,1]	1.2	0.0038	0.31	0.65	1.2	1.7	6648.0	13.0	1.0
theta[175,1]	0.23	0.0037	0.29	-0.23	0.23	0.7	5893.0	12.0	1.0
theta[176,1]	-0.33	0.0046	0.33	-0.9	-0.32	0.18	4988.0	9.8	1.0
theta[177,1]	1.0	0.0037	0.3	0.54	1.0	1.5	6586.0	13.0	1.0
theta[178,1]	0.15	0.0036	0.29	-0.33	0.16	0.63	6383.0	13.0	1.0
theta[179,1]	0.79	0.0037	0.28	0.33	0.78	1.3	5748.0	11.0	1.0
theta[180,1]	-0.31	0.0041	0.32	-0.85	-0.3	0.19	6072.0	12.0	1.0
theta[181,1]	-0.029	0.0034	0.29	-0.52	-0.018	0.43	7201.0	14.0	1.0
theta[182,1]	-0.59	0.0047	0.37	-1.2	-0.57	-0.0074	6270.0	12.0	1.0
theta[183,1]	1.4	0.0041	0.32	0.84	1.3	1.9	5946.0	12.0	1.0
theta[184,1]	-0.46	0.0045	0.35	-1.1	-0.43	0.092	5866.0	12.0	1.0
theta[185,1]	0.86	0.0037	0.28	0.4	0.85	1.3	5853.0	12.0	1.0
theta[186,1]	-0.0033	0.0034	0.3	-0.51	0.0066	0.47	7897.0	16.0	1.0
theta[187,1]	0.86	0.0037	0.28	0.4	0.86	1.3	5975.0	12.0	1.0
theta[188,1]	-1.6	0.0072	0.57	-2.6	-1.5	-0.68	6406.0	13.0	1.0
theta[189,1]	-1.5	0.0067	0.53	-2.4	-1.5	-0.7	6142.0	12.0	1.0
theta[190,1]	0.36	0.0034	0.28	-0.092	0.36	0.82	6760.0	13.0	1.0
theta[191,1]	-0.3	0.0038	0.32	-0.84	-0.29	0.21	6993.0	14.0	1.0
theta[192,1]	-0.42	0.0042	0.34	-1.0	-0.4	0.11	6345.0	12.0	1.0
theta[193,1]	-1.4	0.0064	0.5	-2.3	-1.4	-0.62	6164.0	12.0	1.0
theta[194,1]	-0.023	0.0036	0.3	-0.54	-0.0096	0.45	6771.0	13.0	1.0
theta[195,1]	-0.27	0.0041	0.32	-0.82	-0.25	0.23	6273.0	12.0	1.0
theta[196,1]	-1.9	0.0084	0.62	-3.0	-1.8	-0.94	5484.0	11.0	1.0
theta[197,1]	-0.15	0.0036	0.3	-0.65	-0.13	0.32	6662.0	13.0	1.0
theta[198,1]	0.81	0.0035	0.28	0.36	0.81	1.3	6332.0	12.0	1.0
theta[199,1]	-1.0	0.0059	0.45	-1.8	-1.0	-0.36	5744.0	11.0	1.0
theta[200,1]	0.022	0.0035	0.29	-0.47	0.032	0.5	7139.0	14.0	1.0
theta[201,1]	-1.8	0.0075	0.59	-2.9	-1.7	-0.9	6185.0	12.0	1.0
theta[202,1]	-0.078	0.0035	0.3	-0.57	-0.072	0.41	7218.0	14.0	1.0
theta[203,1]	-0.0026	0.0035	0.3	-0.5	0.0042	0.47	7121.0	14.0	1.0
theta[204,1]	0.77	0.0033	0.28	0.32	0.76	1.2	7184.0	14.0	1.0
theta[205,1]	-1.1	0.0059	0.44	-1.8	-1.0	-0.39	5510.0	11.0	1.0
theta[206,1]	0.76	0.0037	0.29	0.29	0.75	1.2	5909.0	12.0	1.0
theta[207,1]	0.23	0.003	0.27	-0.23	0.23	0.67	8138.0	16.0	1.0
theta[208,1]	-0.32	0.004	0.32	-0.87	-0.31	0.19	6520.0	13.0	1.0
theta[209,1]	-1.6	0.0073	0.55	-2.6	-1.6	-0.79	5617.0	11.0	1.0
theta[210,1]	-0.34	0.004	0.32	-0.9	-0.32	0.16	6462.0	13.0	1.0
theta[211,1]	-1.2	0.0069	0.51	-2.2	-1.2	-0.47	5370.0	11.0	1.0
theta[212,1]	0.62	0.0037	0.28	0.16	0.62	1.1	5908.0	12.0	1.0
theta[213,1]	-0.0063	0.0037	0.3	-0.51	4.3e-05	0.47	6446.0	13.0	1.0
theta[214,1]	0.84	0.0032	0.28	0.39	0.83	1.3	7734.0	15.0	1.0
theta[215,1]	-0.38	0.0047	0.34	-0.98	-0.36	0.15	5133.0	10.0	1.0
theta[216,1]	0.33	0.0032	0.28	-0.12	0.33	0.78	7279.0	14.0	1.0
theta[217,1]	1.2	0.0037	0.3	0.73	1.2	1.7	6747.0	13.0	1.0
theta[218,1]	0.45	0.004	0.29	-0.014	0.45	0.92	5221.0	10.0	1.0
theta[219,1]	0.2	0.0034	0.3	-0.3	0.21	0.68	7601.0	15.0	1.0
theta[220,1]	-0.4	0.0042	0.34	-0.97	-0.39	0.15	6534.0	13.0	1.0
theta[221,1]	0.68	0.0038	0.29	0.2	0.68	1.2	5810.0	11.0	1.0
theta[222,1]	-1.7	0.0077	0.58	-2.7	-1.6	-0.82	5678.0	11.0	1.0
theta[223,1]	-0.31	0.004	0.32	-0.87	-0.3	0.2	6369.0	13.0	1.0
theta[224,1]	0.085	0.0036	0.29	-0.41	0.089	0.56	6402.0	13.0	1.0
theta[225,1]	-1.2	0.0064	0.47	-2.0	-1.1	-0.46	5345.0	11.0	1.0
theta[226,1]	0.23	0.0033	0.29	-0.26	0.23	0.7	7681.0	15.0	1.0
theta[227,1]	0.099	0.0036	0.29	-0.38	0.11	0.57	6309.0	12.0	1.0
theta[228,1]	-1.2	0.0063	0.46	-2.0	-1.1	-0.46	5226.0	10.0	1.0
theta[229,1]	0.53	0.0036	0.28	0.073	0.53	1.0	6314.0	12.0	1.0
theta[230,1]	-0.5	0.0044	0.33	-1.1	-0.48	0.022	5621.0	11.0	1.0
theta[231,1]	-1.1	0.0058	0.44	-1.9	-1.1	-0.42	5853.0	12.0	1.0
theta[232,1]	-0.7	0.0048	0.39	-1.4	-0.67	-0.097	6435.0	13.0	1.0
theta[233,1]	0.65	0.003	0.28	0.19	0.65	1.1	8566.0	17.0	1.0
theta[234,1]	-0.69	0.0047	0.38	-1.4	-0.67	-0.096	6592.0	13.0	1.0
theta[235,1]	0.37	0.0032	0.28	-0.11	0.37	0.81	7519.0	15.0	1.0
theta[236,1]	-1.1	0.0054	0.45	-1.9	-1.1	-0.42	7062.0	14.0	1.0
theta[237,1]	-0.29	0.0044	0.32	-0.83	-0.28	0.2	5201.0	10.0	1.0
theta[238,1]	-1.2	0.0061	0.47	-2.1	-1.2	-0.5	6007.0	12.0	1.0
theta[239,1]	0.3	0.0037	0.28	-0.16	0.3	0.77	5891.0	12.0	1.0
theta[240,1]	0.26	0.0033	0.29	-0.23	0.26	0.73	7800.0	15.0	1.0
theta[241,1]	0.17	0.0037	0.29	-0.32	0.19	0.62	5978.0	12.0	1.0
theta[242,1]	-0.53	0.0047	0.36	-1.2	-0.52	0.025	5939.0	12.0	1.0
theta[243,1]	0.049	0.0036	0.3	-0.44	0.061	0.52	6703.0	13.0	1.0
theta[244,1]	0.87	0.0039	0.29	0.42	0.87	1.4	5325.0	10.0	1.0
theta[245,1]	-0.29	0.0037	0.32	-0.85	-0.28	0.22	7436.0	15.0	1.0
theta[246,1]	-0.026	0.0037	0.29	-0.52	-0.016	0.44	6451.0	13.0	1.0
theta[247,1]	-0.49	0.0043	0.35	-1.1	-0.48	0.048	6566.0	13.0	1.0
theta[248,1]	1.3	0.0036	0.29	0.8	1.3	1.8	6533.0	13.0	1.0
theta[249,1]	0.82	0.0037	0.28	0.36	0.82	1.3	5844.0	11.0	1.0
theta[250,1]	-0.54	0.0044	0.36	-1.2	-0.52	0.014	6502.0	13.0	1.0
theta[251,1]	-0.47	0.004	0.34	-1.0	-0.47	0.063	7017.0	14.0	1.0
theta[252,1]	-0.089	0.0041	0.3	-0.59	-0.084	0.4	5265.0	10.0	1.0
theta[253,1]	0.42	0.0039	0.28	-0.043	0.43	0.89	5197.0	10.0	1.0
theta[254,1]	-0.15	0.0034	0.29	-0.65	-0.14	0.31	7286.0	14.0	1.0
theta[255,1]	0.13	0.003	0.28	-0.35	0.14	0.59	8982.0	18.0	1.0
theta[256,1]	0.3	0.0034	0.27	-0.15	0.3	0.74	6331.0	12.0	1.0
theta[257,1]	-0.73	0.0049	0.38	-1.4	-0.71	-0.16	6040.0	12.0	1.0
theta[258,1]	0.31	0.0036	0.3	-0.19	0.31	0.79	6976.0	14.0	1.0
theta[259,1]	0.52	0.0036	0.28	0.051	0.53	0.99	6258.0	12.0	1.0
theta[260,1]	-1.6	0.0072	0.57	-2.6	-1.6	-0.77	6351.0	12.0	1.0
theta[261,1]	0.73	0.0032	0.27	0.28	0.72	1.2	7136.0	14.0	1.0
theta[262,1]	0.45	0.0033	0.28	-0.0094	0.45	0.92	7120.0	14.0	1.0
theta[263,1]	0.33	0.0031	0.28	-0.14	0.33	0.78	8169.0	16.0	1.0
theta[264,1]	0.028	0.0035	0.29	-0.46	0.032	0.49	6763.0	13.0	1.0
theta[265,1]	-0.81	0.0051	0.39	-1.5	-0.8	-0.19	5943.0	12.0	1.0
theta[266,1]	-0.68	0.0044	0.38	-1.3	-0.66	-0.082	7569.0	15.0	1.0
theta[267,1]	-0.36	0.004	0.33	-0.92	-0.34	0.17	6930.0	14.0	1.0
theta[268,1]	0.38	0.0035	0.27	-0.078	0.38	0.81	5921.0	12.0	1.0
theta[269,1]	-1.6	0.0074	0.56	-2.6	-1.5	-0.72	5792.0	11.0	1.0
theta[270,1]	0.6	0.0037	0.29	0.14	0.6	1.1	6099.0	12.0	1.0
theta[271,1]	0.57	0.0034	0.28	0.11	0.57	1.0	6987.0	14.0	1.0
theta[272,1]	-0.86	0.005	0.41	-1.6	-0.84	-0.25	6764.0	13.0	1.0
theta[273,1]	-1.2	0.006	0.46	-2.0	-1.2	-0.5	5862.0	12.0	1.0
theta[274,1]	-0.055	0.0039	0.31	-0.57	-0.049	0.43	6283.0	12.0	1.0
theta[275,1]	0.76	0.0036	0.29	0.29	0.75	1.2	6290.0	12.0	1.0
theta[276,1]	1.4	0.0042	0.32	0.89	1.4	1.9	5618.0	11.0	1.0
theta[277,1]	-0.79	0.005	0.4	-1.5	-0.77	-0.18	6502.0	13.0	1.0
theta[278,1]	0.51	0.0035	0.28	0.055	0.5	0.95	6166.0	12.0	1.0
theta[279,1]	-1.9	0.0079	0.62	-3.0	-1.8	-0.98	6143.0	12.0	1.0
theta[280,1]	1.1	0.0035	0.29	0.67	1.1	1.6	6877.0	14.0	1.0
theta[281,1]	1.3	0.0037	0.31	0.82	1.3	1.8	6832.0	13.0	1.0
theta[282,1]	-1.4	0.0067	0.52	-2.3	-1.4	-0.63	6048.0	12.0	1.0
theta[283,1]	-0.6	0.0054	0.38	-1.3	-0.58	-0.0095	4977.0	9.8	1.0
theta[284,1]	-0.51	0.004	0.36	-1.1	-0.5	0.035	8025.0	16.0	1.0
theta[285,1]	-0.53	0.005	0.35	-1.1	-0.52	0.014	4921.0	9.7	1.0
theta[286,1]	0.91	0.0035	0.29	0.42	0.91	1.4	6956.0	14.0	1.0
theta[287,1]	1.0	0.0038	0.3	0.53	1.0	1.5	6516.0	13.0	1.0
theta[288,1]	1.7	0.0038	0.32	1.2	1.7	2.2	7328.0	14.0	1.0
theta[289,1]	0.48	0.0033	0.27	0.04	0.49	0.93	6699.0	13.0	1.0
